order_id ,customer_id ,order_date ,amount
     101 ,       1044 ,2023-01-15 , 97866.96
     102 ,       1346 ,2023-01-02 ,173283.06
     103 ,       1888 ,2023-02-21 ,129509.63
     104 ,       1133 ,2023-05-07 , 92406.77
     105 ,       1720 ,2023-12-18 ,174239.04
     106 ,         87 ,2023-06-27 , 75969.46
     107 ,        752 ,2023-02-06 ,  7437.66
     108 ,       1516 ,2023-06-14 ,105714.53
     109 ,         75 ,2023-10-16 , 42697.54
     110 ,         56 ,2023-01-17 ,100640.33
     111 ,       1507 ,2023-12-06 ,147388.61
     112 ,        412 ,2023-12-11 , 98380.15
     113 ,        479 ,2023-01-31 ,101125.19
     114 ,        830 ,2023-01-07 ,133918.75
     115 ,        619 ,2023-12-06 , 56894.54
     116 ,        447 ,2023-05-26 , 16659.25
     117 ,        278 ,2023-11-27 ,109960.73
     118 ,        469 ,2023-02-05 ,124403.56
     119 ,        816 ,2023-02-28 , 98444.1
     120 ,       1138 ,2023-01-13 , 86233.72
     121 ,       1054 ,2023-02-11 ,135616.52
     122 ,       1345 ,2023-12-12 ,119705.81
     123 ,       1153 ,2023-12-06 ,126265.53
     124 ,        234 ,2023-08-18 ,  2721.31
     125 ,       1275 ,2023-09-18 , 17595.12
     126 ,       1163 ,2023-12-14 ,145910.11
     127 ,       1325 ,2023-12-12 , 51563.19
     128 ,        427 ,2023-09-23 ,  5969.77
     129 ,       1658 ,2023-06-19 ,167764.9
     130 ,       1439 ,2023-03-12 , 56670.69
     131 ,        200 ,2023-11-30 ,107863.02
     132 ,       1070 ,2023-09-29 , 83382.43
     133 ,        838 ,2023-12-29 , 81686.7
     134 ,        578 ,2023-03-23 , 55149.76
     135 ,        681 ,2023-06-10 ,  5953.18
     136 ,       1196 ,2023-08-15 ,148753.61
     137 ,        794 ,2023-08-11 , 14403.88
     138 ,       1448 ,2023-03-24 ,  1239.92
     139 ,         73 ,2023-06-04 , 98956.12
     140 ,         63 ,2023-01-08 , 21658.95
     141 ,       1539 ,2023-06-30 ,  1680.39
     142 ,       1995 ,2023-09-11 ,139842.81
     143 ,        256 ,2023-01-20 , 63562.8
     144 ,       1921 ,2023-09-24 , 73674.74
     145 ,       1024 ,2023-03-28 , 50667.25
     146 ,       1091 ,2023-06-21 , 53641.29
     147 ,       1566 ,2023-02-02 , 48898.1
     148 ,        634 ,2023-10-01 ,  3008.74
     149 ,        485 ,2023-10-10 , 52777.5
     150 ,         54 ,2023-01-05 , 34993.57
     151 ,        420 ,2023-01-16 , 83753.18
     152 ,        865 ,2023-10-22 ,128148.38
     153 ,       1876 ,2023-12-03 , 35796.02
     154 ,        735 ,2023-04-19 ,133402.38
     155 ,        697 ,2023-10-24 , 27976.66
     156 ,        921 ,2023-03-28 , 68755.38
     157 ,        413 ,2023-04-18 ,134293.5
     158 ,        399 ,2023-04-24 , 98032.87
     159 ,       1415 ,2023-09-17 , 70168.22
     160 ,       1974 ,2023-05-14 , 95612.83
     161 ,        422 ,2023-05-10 ,141122.33
     162 ,       1466 ,2023-05-31 , 47654.55
     163 ,       1521 ,2023-09-26 ,115612.87
     164 ,         22 ,2023-05-13 ,170488.97
     165 ,       1461 ,2023-06-04 ,146009.72
     166 ,       1965 ,2023-10-30 , 93202.08
     167 ,       1205 ,2023-04-21 , 60872.69
     168 ,        801 ,2023-02-22 ,124979.77
     169 ,       1974 ,2023-05-30 , 80693.17
     170 ,        174 ,2023-03-18 ,159350.9
     171 ,       1580 ,2023-05-03 , 33186.25
     172 ,        716 ,2023-11-30 ,148406.8
     173 ,        470 ,2023-03-05 ,144178.62
     174 ,        451 ,2023-04-15 ,171988.26
     175 ,       1108 ,2023-08-10 ,161867.45
     176 ,       1241 ,2023-05-20 ,143886.87
     177 ,       1460 ,2023-03-18 ,136047.39
     178 ,       1720 ,2023-01-26 , 63572.3
     179 ,        462 ,2023-04-22 ,149354.77
     180 ,       1208 ,2023-12-18 ,124833.14
     181 ,       1034 ,2023-10-18 , 23138.61
     182 ,       1807 ,2023-05-03 ,110142.14
     183 ,        831 ,2023-01-13 ,152825.14
     184 ,        107 ,2023-12-22 ,119080.74
     185 ,        589 ,2023-10-06 ,122158.82
     186 ,       1294 ,2023-08-21 , 49255.86
     187 ,        750 ,2023-12-02 ,163285.63
     188 ,       1350 ,2023-11-16 ,121139.15
     189 ,        150 ,2023-01-24 , 66746.64
     190 ,        266 ,2023-02-06 ,155272.63
     191 ,       1434 ,2023-06-21 , 29136.91
     192 ,       1792 ,2023-08-29 , 88344.59
     193 ,       1489 ,2023-01-01 ,147440.0
     194 ,       1042 ,2023-04-19 , 63346.95
     195 ,       1145 ,2023-02-22 , 45387.64
     196 ,       1866 ,2023-01-05 ,122699.44
     197 ,        669 ,2023-05-16 ,112408.97
     198 ,       1681 ,2023-03-02 , 35125.62
     199 ,        590 ,2023-01-10 ,122933.37
     200 ,        829 ,2023-09-15 ,152429.22
     201 ,        814 ,2023-11-27 , 76401.63
     202 ,        601 ,2023-06-18 , 31492.95
     203 ,        104 ,2023-10-01 , 72867.91
     204 ,       1716 ,2023-05-16 , 60895.11
     205 ,        862 ,2023-06-22 , 88182.05
     206 ,       1452 ,2023-09-20 , 17942.89
     207 ,        780 ,2023-05-12 ,170757.03
     208 ,       1328 ,2023-08-10 ,151636.74
     209 ,       1478 ,2023-06-22 ,167184.33
     210 ,        549 ,2023-07-22 ,141452.04
     211 ,        244 ,2023-01-27 ,117154.38
     212 ,        751 ,2023-10-12 ,136768.13
     213 ,       1285 ,2023-01-31 ,106878.01
     214 ,       1589 ,2023-09-24 , 70072.61
     215 ,        588 ,2023-06-15 , 20313.24
     216 ,        357 ,2023-09-05 ,149654.05
     217 ,       1747 ,2023-09-04 ,135944.23
     218 ,       1962 ,2023-05-22 , 69516.45
     219 ,       1782 ,2023-04-13 , 37052.28
     220 ,       1574 ,2023-09-21 , 38550.16
     221 ,        817 ,2023-04-20 , 12340.0
     222 ,       1622 ,2023-04-24 , 47491.33
     223 ,       1395 ,2023-10-15 , 99245.5
     224 ,       1949 ,2023-07-21 ,124131.84
     225 ,       1653 ,2023-01-19 , 16197.96
     226 ,        112 ,2023-07-28 , 34006.88
     227 ,       1887 ,2023-04-06 , 53992.49
     228 ,       1678 ,2023-06-08 ,122252.69
     229 ,       1180 ,2023-07-30 ,173009.79
     230 ,        265 ,2023-09-22 ,169805.19
     231 ,       1834 ,2023-09-30 ,112215.13
     232 ,       1268 ,2023-04-03 ,153424.08
     233 ,        995 ,2023-09-16 ,168144.55
     234 ,         98 ,2023-01-05 , 35258.57
     235 ,        530 ,2023-11-15 ,147211.64
     236 ,        966 ,2023-01-05 ,132931.57
     237 ,       1827 ,2023-05-07 ,108279.02
     238 ,       1255 ,2023-02-15 ,120956.04
     239 ,       1405 ,2023-07-17 ,118584.75
     240 ,        704 ,2023-08-21 ,  4752.65
